"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","eids-badge__description","eids-badge__label","he-lazy-image src 2","he-lazy-image src 3","list-view-header"
"https://www.hepsiemlak.com/istanbul-sariyer-rumeli-kavagi-kiralik/daire/11217-9277","24","50.000","04-03-2025","Kiralık Daire","4 +
                          1","160 m²","49
                        Yaşında","3. Kat","İstanbul / Sarıyer / Rumeli Kavağı Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-ahenk-11217","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/1/2/1/1/0/9a295213-cfd1-49d3-ae6a-7e2ae3253c81.jpg","Remax Ahenk","","","","",""
"https://www.hepsiemlak.com/istanbul-besiktas-levazim-kiralik/daire/33600-50031","37","60.000","04-03-2025","Kiralık Daire","3 +
                          1","110 m²","40
                        Yaşında","3. Kat","İstanbul / Beşiktaş / Levazım Mah.","https://www.hepsiemlak.com/emlak-ofisi/art-emlak-real-estate-33600","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Art Emlak / Real Estate","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/0/6/3/3/0/63619513-538d-4334-9dd3-c00b861912f0.jpg","",""
"https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/155286-5","9","22.000","04-03-2025","Kiralık Daire","2 +
                          1","90 m²","19
                        Yaşında","3. Kat","İstanbul / Şişli / Gülbahar Mah.","https://www.hepsiemlak.com/emlak-ofisi/osman-selim-gokce-gayrimenkul-155286","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Osman Selim Gökçe Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://www.hepsiemlak.com/img/loadings/noImage55-55.png","",""
"https://www.hepsiemlak.com/istanbul-kartal-cevizli-kiralik/daire/140441-110","26","35.000","01-03-2025","Kiralık Daire","1 +
                          1","85 m²","10
                        Yaşında","12. Kat","İstanbul / Kartal / Cevizli Mah.","https://www.hepsiemlak.com/emlak-ofisi/stil-gayrimenkul-danismanlik-140441","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Stil Gayrimenkul Danışmanlık","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/7/9/4/6/2/4/4/884d186e-6d49-47f8-9d44-5d76c43d0036.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/4/4/0/4/1/b548b2c4-4fcc-496e-825a-a16668276490.jpg",""
"https://www.hepsiemlak.com/istanbul-sisli-esentepe-kiralik/daire/1171-11151","30","285.000","04-03-2025","Kiralık Daire","3 +
                          1","200 m²","14
                        Yaşında","7. Kat","İstanbul / Şişli / Esentepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/a-z-emlak-1171/haydar-otman-1171","https://hecdn01.hemlak.com/img/eids-logo-mini.png","A-z Emlak","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/6/8/6/3/8/8/3/4/cc9e21df-4048-4560-a1fe-941bc7eb7a49.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/1/7/1/1/0/0/0e8fa05c-b56b-499a-9c4e-7cccff732d56.jpg",""
"https://www.hepsiemlak.com/istanbul-esenyurt-cumhuriyet-kiralik/daire/155429-5","42","22.000","03-03-2025","Kiralık Daire","1 +
                          1","82 m²","8
                        Yaşında","8. Kat","İstanbul / Esenyurt / Cumhuriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/expertiz-gayrimenkul-155429","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Expertiz Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/5/8/7/4/2/4/4/1697c73a-0fa3-48c4-9e61-09eae36d9356.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/2/4/5/5/1/a94d7117-98cf-4a31-80f0-65184a59698b.jpg",""
"https://www.hepsiemlak.com/istanbul-sariyer-cayirbasi-kiralik/daire/29795-4882","12","52.000","03-03-2025","Kiralık Daire","3 +
                          1","140 m²","16
                        Yaşında","En Üst Kat","İstanbul / Sarıyer / Çayırbaşı Mah.","https://www.hepsiemlak.com/emlak-ofisi/kabil-gayrimenkul-danismanlik-29795","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Kabil Gayrimenkul Danışmanlık","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/3/0/2/9/2/0/4/4/9f87dd37-bad2-4f2a-a0b2-8e2b3ff05777.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/9/7/9/2/0/69be63cf-a8f8-4e2b-b999-e85d94e6ddc2.jpg",""
"https://www.hepsiemlak.com/istanbul-kadikoy-caferaga-kiralik/daire/28969-1976","15","140.000","02-03-2025","Kiralık Daire","4 +
                          1","180 m²","15
                        Yaşında","2. Kat","İstanbul / Kadıköy / Caferağa Mah.","https://www.hepsiemlak.com/emlak-ofisi/nukhet-demir-gayrimenkul-28969/aksel-demir-28969","","Nükhet Demir Gayrimenkul","","","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/4/5/3/3/4/7/1/4/77021e04-315a-4e50-9c6e-742c02920e75.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/6/9/8/2/0/6d4a18c2-602f-4c3b-bc0d-99c8733fdc46.jpg",""
"https://www.hepsiemlak.com/istanbul-sisli-harbiye-kiralik/daire/29818-252","28","250.000","02-03-2025","Kiralık Daire","3 +
                          1","150 m²","30
                        Yaşında","4. Kat","İstanbul / Şişli / Harbiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/bizz-gayrimenkul-29818","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Bizz Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/5/1/9/3/4/0/8/3/1638255226-65751-38043915.jpeg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/1/8/9/2/0/69968d3d-78e1-45e6-a89a-514c425b4b07.jpg",""
"https://www.hepsiemlak.com/istanbul-esenyurt-barbaros-hayrettin-pasa-kiralik/daire/155429-3","50","22.000","03-03-2025","Kiralık Daire","1 +
                          1","82 m²","6
                        Yaşında","8. Kat","İstanbul / Esenyurt / Barbaros Hayrettin Paşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/expertiz-gayrimenkul-155429","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Expertiz Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/9/5/8/5/2/2/4/4/5707d7e4-ba37-4086-906d-f630cb8e06b6.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/2/4/5/5/1/a94d7117-98cf-4a31-80f0-65184a59698b.jpg",""
